year,value
2022,425
2023,467.5
2024,514.25
2025,565.675
2026,622.2425
2027,684.46675
2028,752.913425
2029,828.2047675
2030,911.0252443
2031,1002.127769
2032,1102.340546
2033,1212.5746
2034,1333.83206
2035,1467.215266
2036,1613.936793
2037,1775.330472
2038,1952.863519
2039,2148.149871
2040,2362.964858
2041,2599.261344
2042,2859.187478
2043,3145.106226
2044,3459.616849
2045,3805.578534
2046,4186.136387
2047,4500
2048,4500
2049,4500
2050,4500
2051,4500
2052,4500
2053,4500
2054,4500
2055,4500
2056,4500
2057,4500
2058,4500
2059,4500
2060,4500
2061,4500
2062,4500
2063,4500
2064,4500
2065,4500
2066,4500
2067,4500
2068,4500
2069,4500
2070,4500
2071,4500
2072,4500
2073,4500
2074,4500
2075,4500
2076,4500
2077,4500
2078,4500
2079,4500
2080,4500
2081,4500
2082,4500
2083,4500
2084,4500
2085,4500
2086,4500
2087,4500
2088,4500
2089,4500
2090,4500
2091,4500
2092,4500
2093,4500
2094,4500
2095,4500
2096,4500
2097,4500
2098,4500
2099,4500
2100,4500
